ident,name,coordinates,elevation_ft,iso_country,municipality,iata_code
SADP,El Palomar Airport,"-58.6126, -34.6099",59,AR,El Palomar,EPA
SAEZ,Ministro Pistarini International Airport,"-58.5358, -34.8222",67,AR,Buenos Aires,EZE
SAHS,Rincon De Los Sauces Airport,"-68.9041976929, -37.3905982971",1968,AR,Rincon de los Sauces,RDS
SAHZ,Zapala Airport,"-70.113602, -38.975498",3330,AR,Zapala,APZ
SAME,El Plumerillo Airport,"-68.7929000854, -32.8316993713",2310,AR,Mendoza,MDZ
SAMM,Comodoro D.R. Salomón Airport,"-69.5743026733, -35.493598938",4685,AR,Malargue,LGS
SAMR,Suboficial Ay Santiago Germano Airport,"-68.4039, -34.588299",2470,AR,San Rafael,AFA
SANC,Catamarca Airport,"-65.751701355, -28.5956001282",1522,AR,Catamarca,CTC
SANE,Vicecomodoro Angel D. La Paz Aragonés Airport,"-64.3099975586, -27.765556335399996",656,AR,Santiago del Estero,SDE
SANL,Capitan V A Almonacid Airport,"-66.7957992554, -29.3815994263",1437,AR,La Rioja,IRJ
SANR,Termas de Río Hondo international Airport,"-64.93595, -27.4966",935,AR,Termas de Río Hondo,RHD
SANT,Teniente Benjamin Matienzo Airport,"-65.104897, -26.8409",1493,AR,San Miguel de Tucumán,TUC
SANU,Domingo Faustino Sarmiento Airport,"-68.418198, -31.571501",1958,AR,San Juan,UAQ
SAOC,Area De Material Airport,"-64.2612991333, -33.0850982666",1380,AR,Rio Cuarto,RCU
SAOD,Villa Dolores Airport,"-65.1463012695, -31.9451999664",1847,AR,Villa Dolores,VDR
SAOR,Villa Reynolds Airport,"-65.3873977661, -33.7299003601",1591,AR,Villa Mercedes,VME
SAOU,Brigadier Mayor D Cesar Raul Ojeda Airport,"-66.3563995361, -33.2732009888",2328,AR,San Luis,LUQ
SAOV,Presidente Néstor Kirchner Regionsl Airport,"-63.22663, -32.3201",670,AR,Villa Maria,
SARC,Corrientes Airport,"-58.7619, -27.4455",202,AR,Corrientes,CNQ
SARE,Resistencia International Airport,"-59.0561, -27.45",173,AR,Resistencia,RES
SARF,Formosa Airport,"-58.2281, -26.2127",193,AR,Formosa,FMA
SARI,Cataratas Del Iguazú International Airport,"-54.473400116, -25.737300872800002",916,AR,Puerto Iguazu,IGR
SARL,Paso De Los Libres Airport,"-57.1521, -29.6894",230,AR,Paso de los Libres,AOL
SARM,Monte Caseros Airport,"-57.6402, -30.2719",170,AR,Monte Caseros,MCS
SARP,Libertador Gral D Jose De San Martin Airport,"-55.9707, -27.3858",430,AR,Posadas,PSS
SASA,Martin Miguel De Guemes International Airport,"-65.4861984253, -24.856000900299996",4088,AR,Salta,SLA
SASJ,Gobernador Horacio Guzman International Airport,"-65.0978012085, -24.3927993774",3019,AR,San Salvador de Jujuy,JUJ
SASO,Orán Airport,"-64.3292007446, -23.1527996063",1171,AR,Orán,ORA
SAST,General Enrique Mosconi Airport,"-63.7937011719, -22.619600296",1472,AR,Tartagal,TTG
SATG,Goya Airport,"-59.2189, -29.1058",128,AR,Goya,OYA
SATR,Reconquista Airport,"-59.68, -29.2103",160,AR,Reconquista,RCQ
SATU,Curuzu Cuatia Airport,"-57.9789, -29.7706",229,AR,Curuzu Cuatia,UZU
SAVB,El Bolson Airport,"-71.5323028564, -41.9431991577",1141,AR,El Bolson,EHL
SAVC,General E. Mosconi Airport,"-67.4655, -45.7853",189,AR,Comodoro Rivadavia,CRD
SAVE,Brigadier Antonio Parodi Airport,"-71.139503479, -42.908000946",2621,AR,Esquel,EQS
SAVH,Las Heras Airport,"-68.9653015137, -46.53829956049999",1082,AR,Las Heras,LHS
SAVT,Almirante Marco Andres Zar Airport,"-65.2703, -43.2105",141,AR,Rawson,REL
SAVV,Gobernador Castello Airport,"-63.0004, -40.8692",20,AR,Viedma / Carmen de Patagones,VDM
SAVY,El Tehuelche Airport,"-65.1027, -42.7592",427,AR,Puerto Madryn,PMY
SAWC,El Calafate Airport,"-72.053101, -50.2803",669,AR,El Calafate,FTE
SAWD,Puerto Deseado Airport,"-65.9041, -47.7353",268,AR,Puerto Deseado,PUD
SAWE,Hermes Quijada International Airport,"-67.7494, -53.7777",65,AR,Rio Grande,RGA
SAWG,Piloto Civil N. Fernández Airport,"-69.3126, -51.6089",61,AR,Rio Gallegos,RGL
SAWH,Malvinas Argentinas Airport,"-68.2958, -54.8433",102,AR,Ushuahia,USH
SAWJ,Capitan D Daniel Vazquez Airport,"-67.8026, -49.3068",203,AR,San Julian,ULA
SAWP,Perito Moreno Airport,"-70.9786987305, -46.5378990173",1410,AR,Perito Moreno,PMQ
SAWU,Santa Cruz Airport,"-68.5792, -50.0165",364,AR,Santa Cruz,RZA
SAZB,Comandante Espora Airport,"-62.1693, -38.725",246,AR,Bahia Blanca,BHI
SAZG,General Pico Airport,"-63.7583007812, -35.6962013245",459,AR,General Pico,GPO
SAZH,Tres Arroyos Airport,"-60.3297, -38.3869",400,AR,Tres Arroyos,OYO
SAZL,Santa Teresita Airport,"-56.7218, -36.5423",9,AR,Santa Teresita,SST
SAZM,Ástor Piazzola International Airport,"-57.5733, -37.9342",72,AR,Mar del Plata,MDQ
SAZN,Presidente Peron Airport,"-68.15570068359999, -38.9490013123",895,AR,Neuquen,NQN
SAZO,Necochea Airport,"-58.8172, -38.4831",72,AR,Necochea,NEC
SAZP,Comodoro Pedro Zanni Airport,"-61.8576, -35.8446",278,AR,Pehuajó,PEH
